,x,y,z,vx,vy,vz,ax,ay,az,pitch,roll,yaw,pitch_a,roll_a,yaw_a
0,6.466874122619629,-0.7796525955200195,12.302779197692871,2.265148401260376,-0.04582454636693001,-0.1009800061583519,0.09477626532316208,-0.3141695261001587,0.07128429412841797,0.07360224425792694,0.2449367493391037,-0.00031080894405022264,-3.539423942565918,-3.2459638118743896,-0.0007047289982438087
0,6.732048988342285,-0.7870631217956543,12.291006088256836,2.264150381088257,-0.08009631931781769,-0.10137902200222015,-0.087958425283432,-0.2735547423362732,-0.013555526733398438,0.035986483097076416,0.102175273001194,-0.0002467138401698321,0.19411253929138184,-0.6893393993377686,0.0006423486629500985
0,6.989418029785156,-0.7977147102355957,12.279668807983398,2.249898910522461,-0.10409542173147202,-0.09791034460067749,-0.1497180461883545,-0.14442741870880127,0.010296821594238281,0.09084466099739075,0.02779466286301613,-0.00020573056826833636,-2.373161792755127,-0.20085549354553223,0.0005720191984437406
0,7.244072437286377,-0.8106482625007629,12.266928672790527,2.20711612701416,-0.12494804710149765,-0.133635476231575,-0.6211882829666138,-0.23372964560985565,-0.38526248931884766,-0.0512583926320076,0.33900293707847595,0.00028982924413867295,3.5989878177642822,-5.609767913818359,0.0007915449095889926
0,7.491044521331787,-0.8269974589347839,12.248887062072754,2.1221165657043457,-0.16823764145374298,-0.18016108870506287,-0.8162883520126343,-0.5295602083206177,-0.2842855453491211,-0.17796389758586884,0.08162464946508408,0.0005394659820012748,7.323032855987549,-0.8648862838745117,-0.0006330327596515417
0,7.745892524719238,-0.8516483306884766,12.226595878601074,2.021479845046997,-0.2312089055776596,-0.1768053025007248,-0.8181537389755249,-0.4789430499076843,0.10016727447509766,0.030146153643727303,-0.016989629715681076,0.0003301730321254581,-0.42890414595603943,-0.5126874446868896,-0.0012896322878077626
0,7.9769415855407715,-0.8820680975914001,12.206400871276855,1.9297873973846436,-0.28988713026046753,-0.16781295835971832,-0.7355742454528809,-0.5246679782867432,0.10035133361816406,-0.00951414555311203,-0.08342299610376358,0.00017135808593593538,2.121940851211548,0.24875567853450775,-0.000804564100690186
0,8.20397663116455,-0.9198182225227356,12.190176963806152,1.8588517904281616,-0.3322564363479614,-0.1107088103890419,-0.48282039165496826,-0.19199204444885254,0.18599414825439453,0.1881270855665207,-0.1821262687444687,0.0007666237070225179,-4.91910982131958,1.9890574216842651,0.0004773200489580631
0,8.412633895874023,-0.9588632583618164,12.176714897155762,1.7995790243148804,-0.35306310653686523,-0.12635253369808197,-0.5659968256950378,-0.1915200799703598,-0.0724334716796875,-0.00347039382904768,0.06940152496099472,0.0005672465194948018,3.1789791584014893,-2.429123640060425,-0.0022324377205222845
0,8.614206314086914,-1.0004284381866455,12.16250228881836,1.738254427909851,-0.3771752119064331,-0.12163350731134415,-0.49825626611709595,-0.23654888570308685,0.050086021423339844,-0.026898188516497612,-0.07256585359573364,0.00032219980494119227,1.8141087293624878,0.7032991051673889,-0.001522159785963595
0,8.820052146911621,-1.0470044612884521,12.150118827819824,1.7002431154251099,-0.39513713121414185,-0.0924447625875473,-0.1372426450252533,-0.05818483233451843,0.01978778839111328,0.0984557718038559,-0.2514985203742981,0.0007506088586524129,-2.8066768646240234,3.7562456130981445,-0.0004193992936052382
0,9.018107414245605,-1.0933178663253784,12.138955116271973,1.6833946704864502,-0.39381924271583557,-0.09876836091279984,-0.18876786530017853,0.07370978593826294,-0.043792724609375,0.07376697659492493,0.06608616560697556,0.0003893985413014889,-1.4625154733657837,-2.449917793273926,-0.002103323582559824
0,9.213020324707031,-1.13833487033844,12.125633239746094,1.639997959136963,-0.3701125979423523,-0.13458430767059326,-0.5594386458396912,0.33031904697418213,-0.3359994888305664,0.13437943160533905,0.2419758439064026,-0.0004891370190307498,-4.485222816467285,-4.419097423553467,-0.0014963228022679687
0,9.39592170715332,-1.177852988243103,12.108050346374512,1.5663166046142578,-0.31836044788360596,-0.1703747808933258,-0.6948279738426208,0.5642895102500916,-0.1911907196044922,0.13178180158138275,0.055046625435352325,-0.0005249374080449343,-4.511145114898682,-0.7241328358650208,0.0013575258199125528
0,9.570116996765137,-1.2107570171356201,12.089709281921387,1.4904975891113281,-0.26202625036239624,-0.14876313507556915,-0.6466749310493469,0.4167621433734894,0.16309738159179688,-0.1100127175450325,-0.04918801784515381,-0.0003839882556349039,4.4879069328308105,0.09678038209676743,0.0009890596847981215
0,9.740303993225098,-1.238987922668457,12.073843955993652,1.420358419418335,-0.2243514060974121,-0.12498354911804199,-0.5552307367324829,0.231074258685112,0.12307167053222656,-0.12328532338142395,-0.08272192627191544,-0.00036821176763623953,2.554532527923584,0.34396836161613464,0.0004540137597359717
0,9.898554801940918,-1.262843132019043,12.058868408203125,1.355289340019226,-0.19087481498718262,-0.13863709568977356,-0.578511655330658,0.372175931930542,-0.06996917724609375,0.08681832998991013,0.006209210027009249,-0.00030076218536123633,-5.740946292877197,-1.1393756866455078,0.0011415081098675728
0,10.05700397491455,-1.2831782102584839,12.042309761047363,1.2850890159606934,-0.14979203045368195,-0.13555721938610077,-0.5907169580459595,0.2995283901691437,0.051387786865234375,-0.04735279828310013,-0.006178190466016531,-0.00016862538177520037,1.1202178001403809,-0.7494714260101318,0.0006609063711948693
0,10.202858924865723,-1.299010992050171,12.025413513183594,1.2034410238265991,-0.12494947761297226,-0.15506745874881744,-0.7959886789321899,0.11280932277441025,-0.1311187744140625,-0.11713521182537079,0.12018212676048279,0.00021541921887546778,3.090949773788452,-3.075702667236328,0.0006338821840472519
0,10.338010787963867,-1.3127175569534302,12.006401062011719,1.1057827472686768,-0.10671292245388031,-0.16691690683364868,-0.8477061986923218,0.21869723498821259,-0.01686573028564453,0.058076635003089905,0.003022268181666732,9.701884118840098e-05,-3.906022071838379,-0.6970272660255432,-0.00042189902160316706
0,10.462029457092285,-1.3238403797149658,11.988675117492676,1.017590045928955,-0.08498187363147736,-0.13626353442668915,-0.6715776920318604,0.1480897217988968,0.18517398834228516,-0.047218598425388336,-0.14397954940795898,-4.868058385909535e-05,1.7546499967575073,1.4037423133850098,-0.0005239932797849178
