,x,y,z,vx,vy,vz,ax,ay,az,pitch,roll,yaw,pitch_a,roll_a,yaw_a
0,2.431187629699707,2.6555731296539307,12.56064224243164,0.5502334237098694,0.49629026651382446,-0.09815286844968796,0.04217947646975517,0.09390686452388763,0.0028743743896484375,-0.010645254515111446,0.011637624353170395,1.9634151158243185e-06,-0.0019066783133894205,-0.07186789810657501,3.9851493056630716e-06
0,2.4958200454711914,2.7142536640167236,12.549178123474121,0.554263174533844,0.5065194368362427,-0.09782349318265915,0.027204053476452827,0.08098439127206802,0.0022029876708984375,-0.01070430502295494,0.010578280314803123,2.552614205342252e-06,0.02062734216451645,-0.08104504644870758,1.2224010106365313e-06
0,2.5641634464263916,2.777132034301758,12.537164688110352,0.5566551685333252,0.5155715942382812,-0.09754984825849533,0.012335265055298805,0.0663832426071167,0.0015716552734375,-0.010507989674806595,0.009195026010274887,2.9691359486605506e-06,0.03507359325885773,-0.08913250267505646,-2.63640504272189e-06
0,2.631016731262207,2.839442729949951,12.525472640991211,0.5572370290756226,0.5226049423217773,-0.09735239297151566,-0.0021140053868293762,0.05107685551047325,0.0010223388671875,-0.010514705441892147,0.009013845585286617,3.3465216802142095e-06,0.0783635750412941,-0.11277589201927185,-3.761384277822799e-06
0,2.6961681842803955,2.9009034633636475,12.514091491699219,0.5561755895614624,0.5276776552200317,-0.09730914980173111,-0.015236746519804,0.036095600575208664,0.000354766845703125,-0.009910200722515583,0.007834723219275475,3.4722377222351497e-06,0.0964280366897583,-0.1116936057806015,-6.6529519244795665e-06
0,2.757786273956299,2.9596688747406006,12.503293991088867,0.5537621378898621,0.5308327674865723,-0.09726863354444504,-0.02784748002886772,0.020939266309142113,0.00012969970703125,-0.011210760101675987,0.008651487529277802,3.709394150064327e-06,0.20281505584716797,-0.11375810205936432,-5.744372629123973e-06
0,2.8240087032318115,3.0234837532043457,12.491621017456055,0.5496703386306763,0.5324139595031738,-0.09728512912988663,-0.0393822081387043,0.00610012374818325,-0.000141143798828125,-0.008478853851556778,0.005775379482656717,3.45964645021013e-06,0.13049957156181335,-0.1151554137468338,-9.581148333381861e-06
0,2.889664649963379,3.087388277053833,12.479948043823242,0.5443906784057617,0.5323686003684998,-0.09733393788337708,-0.047792136669158936,-0.0061917356215417385,-0.00018405914306640625,-0.006481917109340429,0.003599558724090457,2.8635440685320646e-06,0.11332192271947861,-0.10410279780626297,-8.648970833746716e-06
0,2.9530177116394043,3.149609327316284,12.46856689453125,0.5383848547935486,0.530992865562439,-0.09740011394023895,-0.05427788197994232,-0.01683725416660309,-0.0002079010009765625,-0.005605456884950399,0.002643251558765769,2.3089207843440818e-06,0.14920255541801453,-0.10261280834674835,-7.624556474183919e-06
0,3.017221212387085,3.2131853103637695,12.456869125366211,0.5315338373184204,0.5283821225166321,-0.09747091680765152,-0.05924789980053902,-0.026091482490301132,-0.00011157989501953125,-0.003990089986473322,0.001169842085801065,1.7858111505120178e-06,0.11892661452293396,-0.09468843042850494,-6.7997229962202255e-06
