,x,y,z,vx,vy,vz,ax,ay,az,pitch,roll,yaw,pitch_a,roll_a,yaw_a
0,8.785387992858887,8.53570556640625,10.829997062683105,1.2376000881195068,0.5971888899803162,-0.21255435049533844,-0.46250516176223755,-1.0314539670944214,0.19178295135498047,0.04465045779943466,-0.08563810586929321,-0.0003653977473732084,0.23218375444412231,0.10604815930128098,0.0018508733483031392
0,8.93379020690918,8.600720405578613,10.801554679870605,1.1729485988616943,0.4575347900390625,-0.24715451896190643,-0.5686733722686768,-1.163095235824585,-0.08023929595947266,0.0028104763478040695,0.048942144960165024,-9.573214629199356e-05,2.12727952003479,-2.08502459526062,0.0003999570326413959
0,9.067330360412598,8.647231101989746,10.776185989379883,1.1097711324691772,0.34313616156578064,-0.18637382984161377,-0.5421434044837952,-0.8523109555244446,0.3735799789428711,0.1958390325307846,-0.02845468930900097,-3.237667624489404e-05,-4.490377426147461,-0.13861609995365143,0.0006915718549862504
0,9.193483352661133,8.681258201599121,10.754006385803223,1.0486509799957275,0.23658964037895203,-0.19392739236354828,-0.46690717339515686,-0.9436247944831848,0.016304969787597656,-0.0037657618522644043,-0.08266402781009674,-9.021886944537982e-05,4.746792793273926,0.5397586822509766,0.00026014825562015176
0,9.313156127929688,8.703386306762695,10.734613418579102,0.9963863492012024,0.14839406311511993,-0.14105987548828125,-0.46439531445503235,-0.5964847803115845,0.2552194595336914,0.2232002168893814,-0.0019643360283225775,-0.0001247755717486143,-5.833509922027588,-1.0146207809448242,0.0005088354810141027
0,9.424103736877441,8.716975212097168,10.720778465270996,0.9543228149414062,0.09401176869869232,-0.10687003284692764,-0.26458612084388733,-0.3798450529575348,0.13934898376464844,0.15245871245861053,-0.17820024490356445,0.0002693750138860196,-1.6303151845932007,2.2388250827789307,0.0016607551369816065
0,9.536574363708496,8.725545883178711,10.707171440124512,0.9171481728553772,0.048434074968099594,-0.12055186927318573,-0.37525761127471924,-0.38626986742019653,-0.06490516662597656,0.02024368941783905,0.07972651720046997,0.00024093662796076387,1.734169840812683,-2.7313385009765625,-0.001111624646000564
0,9.64124870300293,8.728896141052246,10.693513870239258,0.8717572689056396,0.012118174694478512,-0.11251461505889893,-0.39383643865585327,-0.23194381594657898,0.046975135803222656,0.1002754345536232,-0.006944509223103523,0.00013886990200262517,-2.5313477516174316,-0.10972661525011063,-0.0004936333862133324
0,9.740579605102539,8.72879695892334,10.680419921875,0.8266393542289734,-0.013778433203697205,-0.11128592491149902,-0.3710878789424896,-0.22069084644317627,0.0197906494140625,0.013574781827628613,-0.029704667627811432,8.6538253526669e-05,1.245452880859375,-0.06743772327899933,-0.00031887920340523124
0,9.832306861877441,8.725844383239746,10.667489051818848,0.7811990976333618,-0.03738202154636383,-0.11541227251291275,-0.42788422107696533,-0.1905873715877533,-0.013179779052734375,0.027015797793865204,0.0359959602355957,3.954828207497485e-05,-0.2227521389722824,-1.1863266229629517,-0.0002621853200253099
0,9.91921615600586,8.720781326293945,10.656097412109375,0.7507693767547607,-0.04683263227343559,-0.0913541242480278,-0.09074574708938599,0.030112318694591522,-0.013915061950683594,0.14388597011566162,-0.2827780842781067,0.0007091925945132971,-4.9016571044921875,4.151195049285889,0.0014395301695913076
0,10.006103515625,8.715664863586426,10.644603729248047,0.7275270819664001,-0.040195826441049576,-0.10790299624204636,-0.3612907826900482,0.06487337499856949,-0.15964412689208984,0.019535142928361893,0.22427836060523987,0.000449611950898543,0.6642481088638306,-5.391969203948975,-0.0022345203906297684
